titleId,title,writers,weekday,upload_day,age_rating,brief_text,interest_count,total_episodes,status,hashtags
820602,오!단군,이경탁 (글)/ 노미영 (그림),일요웹툰,오!단군,12세 이용가,인간이 되지 못한 짐승들과 여고생 나래의 악귀사냥기<br><br><br><br><br><br><br><br><br>,"51,691",총 45화,연재 중,#판타지 #액션 #가벼운 #개그 #오컬트 #동양풍판타지 #학원물 #인외존재
807826,내게 종말은 게임이다,HOOPA (글/그림)/ 최우진 (원작),일요웹툰,내게 종말은 게임이다,15세 이용가,백수나 다름없는 삶을 살던 게임 스트리머 고천수. 시청자 수는 1명.<br>어느 날 플레이어로 지목된 그는 현실 세계의 서바이벌 게임에 내던져진다.<br>클리어 조건은 죽지 않는 것. 24시간 라이브 생존 스트리밍이 시작된다.<br><br><br><br><br><br><br><br><br>,"82,996",총 74화,연재 중,#판타지 #게임 #생존 #크리처 #판타지 #아포칼립스 #게임판타지 #인플루언서
818645,미친 황제가 나를 안을 때,육미화 (글)/ 라타 (그림)/ 임혜 (원작),일요웹툰,미친 황제가 나를 안을 때,12세 이용가,학대당하며 살던 황녀 셀레스테에게 찾아온 결혼이라는 기회. <br>구원의 줄이라 여기며 잡았지만 비극의 시작이었다.<br>어둡고 퇴폐적인 외모와 달리 반듯한 신사 테르칸.<br>먹이를 눈앞에 둔 거친 짐승 바티조.<br>그리고 두 남자 사이에 선 셀레스테.<br>세 남녀의 얽히고설킨 판타지 치정 로맨스의 끝은 과연 어떻게 될까...<br><br><br><br><br><br><br><br><br>,"55,608",총 46화,연재 중,#로맨스 #자극적인 #서양 #결혼생활 #왕족/귀족 #능글남 #나쁜남자 #사연녀
801455,완벽한 파트너,산차 (글/그림)/ 오하라 (원작),일요웹툰,완벽한 파트너,전체연령가,능력 있는 매니저로 승승장구하던 설영은 7년을 키운 내 배우가 하루 아침에 배신하자 더 이상 매니저 일을 하지 않겠다 다짐한다.<br>하지만 그런 그녀 앞에 자신의 매니저가 되어 달라는 천재 루키 서헌이 나타나게 되는데…!<br>서헌을 만인의 연인으로 만들기 위해 다시 한번 가슴이 뛰기 시작한 설영!<br>그런데 이 남자 뭔가를 더 숨기고 있는 거 같다?<br><br><br><br><br><br><br><br><br>,"76,425",총 97화,연재 중,#로맨스 #연예계로맨스 #설렘폭발 #현대 #햇살남 #연하남 #능력녀 #햇살캐
827392,방치형 용사 키우기,물고기 (글/그림),일요웹툰,방치형 용사 키우기,전체연령가,세상에서 소외된 40대 독거남 '영수'에게 어느 날 '용사'가 생겼다.<br>용사에게 간택 받은 영수는 게으른데 게으르고 게으르다.<br>원치 않는 동거가 시작된 고독한 40대 독거남의 용사 키우기 일상 개그 만화<br><br><br><br><br><br><br><br><br>,"12,505",총 21화,연재 중,#개그 #열혈병맛개그 #블랙코미디 #용사 #중년 #병맛 #차원이동 #4차원
811841,죽고 싶습니다,연제원 (글/그림),일요웹툰,죽고 싶습니다,18세 이용가,인생의 막다른 길에 몰려 죽기로 결심한 12인.<br>하지만 우리 안에 살인마가 섞여 있었다.<br>무인도에서 50억을 손에 넣기 위한 살인 게임이 시작된다.<br><br><br><br><br><br><br><br><br>,"18,245",총 72화,연재 중,#스릴러 #고자극스릴러 #자극적인 #시리어스 #생존 #데스게임 #범죄 #서바이벌
802682,여신님의 호랑이 공략법,아완 (글)/ 청라 (그림),일요웹툰,여신님의 호랑이 공략법,15세 이용가,연인에게 배신당해 비참한 죽음을 맞은 태양신 모하. 모하는 자신이 정체 모를 여인의 몸에 빙의 된 채 1년 전 과거로 돌아와있음을 깨닫게 된다. 지난 생의 비극을 막기 위해 고군분투하는 모하. 하지만 예기치 못하게 과거 자신의 수하였던 두 마리의 호랑이 신수가 그녀를 향해 열렬한 구애를 펼쳐오는데.<br><br><br><br><br><br><br><br><br>,"87,020",총 103화,연재 중,#로맨스 #동양풍로맨스 #과거 #동양 #신화 #짝사랑남 #사연남 #햇살남
753842,데빌샷,CTK (글/그림),일요웹툰,데빌샷,15세 이용가,죽음을 마주한 순간<br>지하세계의 왕과 계약했다.<br><br><br><br><br><br><br><br>,"136,486",총 170화,연재 중,#판타지 #현대 #서바이벌 #오컬트 #헌터물 #인외존재 #이능력배틀물
818643,키스는 자기 전에,이채은 (글/그림),일요웹툰,키스는 자기 전에,15세 이용가,어릴적 사고로 초능력을 얻게 된 이지호!<br>그러나 초능력 컨트롤이 되지 않는다!!<br>애물단지 같은 초능력으로 고통받던 중<br>지호는 앞집 남자 예찬과 스킨십을 하면 초능력으로부터 벗어날 수 있다는 사실을 알게 되는데..<br>합법적인 스킨십을 하기 위해 예찬을 유혹해야 하는<br>비자발적 초능력자의 우당탕탕 개그 로맨스 판타지 히어로 액션!!<br><br><br><br><br><br><br><br><br>,"93,910",총 50화,휴재,#로맨스 #이능력 #청춘 #로맨틱코미디 #액션 #판타지 #개그 #러블리
818622,아빠는 버츄얼 아이돌,수오수 (글/그림),일요웹툰,아빠는 버츄얼 아이돌,12세 이용가,엄마가 돌아가신 이후 다정은 외로워하는 아빠가 걱정되어 다니던 회사를 정리하고 고향으로 돌아와 아빠와 함께 지내기로 한다. <br>어느 날 밤 우연히 아빠가 밤늦게까지 잠들지 않고 모니터 안의 의문의 캐릭터에 정신없이 빠져 있는 것을 목격한다. <br>그 캐릭터의 정체는 버튜버 '냐미' 라는 것을 알게된 다정은 아빠의 취미를 응원하기로 한다. <br>그런데 단순히 취미인 줄 알았던 버튜버 캐릭터를 아빠가 직접 움직이는 것을 목격하게 되는데...<br><br><br><br><br><br><br><br><br>,"26,446",총 52화,연재 중,#드라마 #감성적인 #공감 #현대 #가족 #가벼운 #개그 #직업드라마
